code	ISO-8859-01	ISO-8859-02	ISO-8859-03	ISO-8859-04	ISO-8859-05	ISO-8859-06	ISO-8859-07	ISO-8859-08	ISO-8859-09	ISO-8859-10	ISO-8859-11	ISO-8859-13	ISO-8859-14	ISO-8859-15	ISO-8859-16
0xBA	0xC2 0xBA	0xC5 0x9F	0xC5 0x9F	0xC4 0x93	0xD0 0x9A		0xCE 0x8A	0xC3 0xB7	0xC2 0xBA	0xC5 0xA1	0xE0 0xB8 0x9A	0xC5 0x97	0xE1 0xBA 0x83	0xC2 0xBA	0xC8 0x99
0xBB	0xC2 0xBB	0xC5 0xA5	0xC4 0x9F	0xC4 0xA3	0xD0 0x9B	0xD8 0x9B	0xC2 0xBB	0xC2 0xBB	0xC2 0xBB	0xC5 0xA7	0xE0 0xB8 0x9B	0xC2 0xBB	0xE1 0xB9 0xA0	0xC2 0xBB	0xC2 0xBB
0xBC	0xC2 0xBC	0xC5 0xBA	0xC4 0xB5	0xC5 0xA7	0xD0 0x9C		0xCE 0x8C	0xC2 0xBC	0xC2 0xBC	0xC5 0xBE	0xE0 0xB8 0x9C	0xC2 0xBC	0xE1 0xBB 0xB3	0xC5 0x92	0xC5 0x92
0xBD	0xC2 0xBD	0xCB 0x9D	0xC2 0xBD	0xC5 0x8A	0xD0 0x9D		0xC2 0xBD	0xC2 0xBD	0xC2 0xBD	0xE2 0x80 0x95	0xE0 0xB8 0x9D	0xC2 0xBD	0xE1 0xBA 0x84	0xC5 0x93	0xC5 0x93
0xBE	0xC2 0xBE	0xC5 0xBE		0xC5 0xBE	0xD0 0x9E		0xCE 0x8E	0xC2 0xBE	0xC2 0xBE	0xC5 0xAB	0xE0 0xB8 0x9E	0xC2 0xBE	0xE1 0xBA 0x85	0xC5 0xB8	0xC5 0xB8
0xBF	0xC2 0xBF	0xC5 0xBC	0xC5 0xBC	0xC5 0x8B	0xD0 0x9F	0xD8 0x9F	0xCE 0x8F		0xC2 0xBF	0xC5 0x8B	0xE0 0xB8 0x9F	0xC3 0xA6	0xE1 0xB9 0xA1	0xC2 0xBF	0xC5 0xBC
0xC0	0xC3 0x80	0xC5 0x94	0xC3 0x80	0xC4 0x80	0xD0 0xA0		0xCE 0x90		0xC3 0x80	0xC4 0x80	0xE0 0xB8 0xA0	0xC4 0x84	0xC3 0x80	0xC3 0x80	0xC3 0x80
0xC1	0xC3 0x81	0xC3 0x81	0xC3 0x81	0xC3 0x81	0xD0 0xA1	0xD8 0xA1	0xCE 0x91		0xC3 0x81	0xC3 0x81	0xE0 0xB8 0xA1	0xC4 0xAE	0xC3 0x81	0xC3 0x81	0xC3 0x81
0xC2	0xC3 0x82	0xC3 0x82	0xC3 0x82	0xC3 0x82	0xD0 0xA2	0xD8 0xA2	0xCE 0x92		0xC3 0x82	0xC3 0x82	0xE0 0xB8 0xA2	0xC4 0x80	0xC3 0x82	0xC3 0x82	0xC3 0x82
0xC3	0xC3 0x83	0xC4 0x82		0xC3 0x83	0xD0 0xA3	0xD8 0xA3	0xCE 0x93		0xC3 0x83	0xC3 0x83	0xE0 0xB8 0xA3	0xC4 0x86	0xC3 0x83	0xC3 0x83	0xC4 0x82
0xC4	0xC3 0x84	0xC3 0x84	0xC3 0x84	0xC3 0x84	0xD0 0xA4	0xD8 0xA4	0xCE 0x94		0xC3 0x84	0xC3 0x84	0xE0 0xB8 0xA4	0xC3 0x84	0xC3 0x84	0xC3 0x84	0xC3 0x84
0xC5	0xC3 0x85	0xC4 0xB9	0xC4 0x8A	0xC3 0x85	0xD0 0xA5	0xD8 0xA5	0xCE 0x95		0xC3 0x85	0xC3 0x85	0xE0 0xB8 0xA5	0xC3 0x85	0xC3 0x85	0xC3 0x85	0xC4 0x86
0xC6	0xC3 0x86	0xC4 0x86	0xC4 0x88	0xC3 0x86	0xD0 0xA6	0xD8 0xA6	0xCE 0x96		0xC3 0x86	0xC3 0x86	0xE0 0xB8 0xA6	0xC4 0x98	0xC3 0x86	0xC3 0x86	0xC3 0x86
0xC7	0xC3 0x87	0xC3 0x87	0xC3 0x87	0xC4 0xAE	0xD0 0xA7	0xD8 0xA7	0xCE 0x97		0xC3 0x87	0xC4 0xAE	0xE0 0xB8 0xA7	0xC4 0x92	0xC3 0x87	0xC3 0x87	0xC3 0x87
0xC8	0xC3 0x88	0xC4 0x8C	0xC3 0x88	0xC4 0x8C	0xD0 0xA8	0xD8 0xA8	0xCE 0x98		0xC3 0x88	0xC4 0x8C	0xE0 0xB8 0xA8	0xC4 0x8C	0xC3 0x88	0xC3 0x88	0xC3 0x88
0xC9	0xC3 0x89	0xC3 0x89	0xC3 0x89	0xC3 0x89	0xD0 0xA9	0xD8 0xA9	0xCE 0x99		0xC3 0x89	0xC3 0x89	0xE0 0xB8 0xA9	0xC3 0x89	0xC3 0x89	0xC3 0x89	0xC3 0x89
0xCA	0xC3 0x8A	0xC4 0x98	0xC3 0x8A	0xC4 0x98	0xD0 0xAA	0xD8 0xAA	0xCE 0x9A		0xC3 0x8A	0xC4 0x98	0xE0 0xB8 0xAA	0xC5 0xB9	0xC3 0x8A	0xC3 0x8A	0xC3 0x8A
0xCB	0xC3 0x8B	0xC3 0x8B	0xC3 0x8B	0xC3 0x8B	0xD0 0xAB	0xD8 0xAB	0xCE 0x9B		0xC3 0x8B	0xC3 0x8B	0xE0 0xB8 0xAB	0xC4 0x96	0xC3 0x8B	0xC3 0x8B	0xC3 0x8B
0xCC	0xC3 0x8C	0xC4 0x9A	0xC3 0x8C	0xC4 0x96	0xD0 0xAC	0xD8 0xAC	0xCE 0x9C		0xC3 0x8C	0xC4 0x96	0xE0 0xB8 0xAC	0xC4 0xA2	0xC3 0x8C	0xC3 0x8C	0xC3 0x8C
0xCD	0xC3 0x8D	0xC3 0x8D	0xC3 0x8D	0xC3 0x8D	0xD0 0xAD	0xD8 0xAD	0xCE 0x9D		0xC3 0x8D	0xC3 0x8D	0xE0 0xB8 0xAD	0xC4 0xB6	0xC3 0x8D	0xC3 0x8D	0xC3 0x8D
0xCE	0xC3 0x8E	0xC3 0x8E	0xC3 0x8E	0xC3 0x8E	0xD0 0xAE	0xD8 0xAE	0xCE 0x9E		0xC3 0x8E	0xC3 0x8E	0xE0 0xB8 0xAE	0xC4 0xAA	0xC3 0x8E	0xC3 0x8E	0xC3 0x8E
0xCF	0xC3 0x8F	0xC4 0x8E	0xC3 0x8F	0xC4 0xAA	0xD0 0xAF	0xD8 0xAF	0xCE 0x9F		0xC3 0x8F	0xC3 0x8F	0xE0 0xB8 0xAF	0xC4 0xBB	0xC3 0x8F	0xC3 0x8F	0xC3 0x8F
0xD0	0xC3 0x90	0xC4 0x90		0xC4 0x90	0xD0 0xB0	0xD8 0xB0	0xCE 0xA0		0xC4 0x9E	0xC3 0x90	0xE0 0xB8 0xB0	0xC5 0xA0	0xC5 0xB4	0xC3 0x90	0xC4 0x90
0xD1	0xC3 0x91	0xC5 0x83	0xC3 0x91	0xC5 0x85	0xD0 0xB1	0xD8 0xB1	0xCE 0xA1		0xC3 0x91	0xC5 0x85	0xE0 0xB8 0xB1	0xC5 0x83	0xC3 0x91	0xC3 0x91	0xC5 0x83
0xD2	0xC3 0x92	0xC5 0x87	0xC3 0x92	0xC5 0x8C	0xD0 0xB2	0xD8 0xB2			0xC3 0x92	0xC5 0x8C	0xE0 0xB8 0xB2	0xC5 0x85	0xC3 0x92	0xC3 0x92	0xC3 0x92
0xD3	0xC3 0x93	0xC3 0x93	0xC3 0x93	0xC4 0xB6	0xD0 0xB3	0xD8 0xB3	0xCE 0xA3		0xC3 0x93	0xC3 0x93	0xE0 0xB8 0xB3	0xC3 0x93	0xC3 0x93	0xC3 0x93	0xC3 0x93
